model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,cost_usd,elapsed_ms,crdt_throughput,mls_rfc,three_encryption_options,recommends_option_b,pg_limit,redis_pubsub_rate,redis_streams_latency,prosemirror_richtext,backend_rampup,infra_migration_weeks
gpt-4.1-mini,openai,0.975,reason_first,2,15645,402,16384,0.7,0.875,16348,1024,0.0081776,13716.822916998353,0,0,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.97,coord_first,2,15565,482,16384,0.8,0.875,16345,1024,0.0081764,13133.205792000808,0,1,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.5,coord_first,0,8023,8024,16384,0.8,1.0,16420,1024,0.008206399999999999,16281.277583999326,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.99,coord_first,1,15886,161,16384,0.2,0.125,16343,1024,0.0081756,20747.00975000087,0,1,0,0,0,0,0,0,0,1
gpt-4.1-mini,openai,0.97,reason_first,3,15565,482,16384,0.7,0.875,16346,1024,0.008176800000000001,14770.122541998717,0,0,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.5,coord_first,1,8023,8024,16384,0.8,1.0,16420,1024,0.008206399999999999,16421.56637500011,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.97,coord_first,3,15565,482,16384,0.7,0.875,16345,1024,0.0081764,17870.052124999347,0,0,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.9,reason_first,1,14442,1605,16384,0.8,1.0,16359,1024,0.008182,15329.546999997547,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.985,reason_first,2,15806,241,16384,0.4,0.5,16344,1024,0.008176,16705.3293329991,0,0,1,1,0,0,0,1,0,1
gpt-4.1-mini,openai,0.5,coord_first,2,8023,8024,16384,0.8,1.0,16420,1024,0.008206399999999999,15354.855792000308,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,2,0,16047,16384,0.8,1.0,16503,987,0.0081804,15822.104709000996,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.98,reason_first,1,15726,321,16384,0.6,0.75,16346,1024,0.008176800000000001,17022.597832998144,0,0,1,1,1,1,0,1,0,1
gpt-4.1-mini,openai,0.985,coord_first,1,15806,241,16384,0.4,0.5,16344,1024,0.008176,15962.563666002097,0,0,1,1,0,0,0,1,0,1
gpt-4.1-mini,openai,0.985,coord_first,2,15806,241,16384,0.3,0.375,16344,1024,0.008176,14844.388499997876,0,0,1,0,0,0,0,1,0,1
gpt-4.1-mini,openai,0.9,reason_first,2,14442,1605,16384,0.7,0.875,16359,1024,0.008182,11859.834916998807,0,0,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.98,reason_first,2,15726,321,16384,0.7,0.75,16346,1024,0.008176800000000001,18088.512333000835,0,1,1,1,1,1,0,1,0,1
gpt-4.1-mini,openai,0.99,coord_first,2,15886,161,16384,0.5,0.5,16343,996,0.0081308,11373.54904199674,0,1,1,0,0,1,0,1,0,1
gpt-4.1-mini,openai,0.98,coord_first,1,15726,321,16384,0.5,0.625,16346,1024,0.008176800000000001,16631.600790999073,0,0,1,1,1,1,0,0,0,1
gpt-4.1-mini,openai,0.0,coord_first,3,0,16047,16384,0.8,1.0,16503,1024,0.0082396,18633.630374999484,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.97,coord_first,4,15565,482,16384,0.8,0.875,16345,1024,0.0081764,24427.820832999714,0,1,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.985,reason_first,3,15806,241,16384,0.4,0.5,16344,1024,0.008176,18234.680416997435,0,0,1,1,0,0,0,1,0,1
gpt-4.1-mini,openai,0.9,coord_first,3,14442,1605,16384,0.8,1.0,16359,1024,0.008182,13889.556166999682,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,3,8023,8024,16384,0.8,1.0,16420,1024,0.008206399999999999,18396.498292000615,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.985,reason_first,4,15806,241,16384,0.3,0.375,16344,1024,0.008176,13964.628624999023,0,0,1,1,0,0,0,1,0,0
gpt-4.1-mini,openai,0.9,reason_first,3,14442,1605,16384,0.8,1.0,16359,1024,0.008182,16146.597457998723,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,4,14442,1605,16384,0.8,1.0,16359,1024,0.008182,18019.987417002994,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.97,coord_first,5,15565,482,16384,0.8,0.875,16345,1024,0.0081764,16699.264999999286,0,1,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.5,coord_first,4,8023,8024,16384,0.8,1.0,16420,1024,0.008206399999999999,14424.385957998311,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.99,coord_first,3,15886,161,16384,0.3,0.25,16343,929,0.0080236,11813.168541997584,0,1,0,0,0,1,0,1,0,0
gpt-4.1-mini,openai,0.99,coord_first,4,15886,161,16384,0.1,0.0,16343,1024,0.0081756,15480.266207996465,0,1,0,0,0,0,0,0,0,0
gpt-4.1-mini,openai,0.98,reason_first,3,15726,321,16384,0.6,0.75,16346,1024,0.008176800000000001,12300.568208000186,0,0,1,1,1,1,0,1,0,1
gpt-4.1-mini,openai,0.98,coord_first,2,15726,321,16384,0.6,0.75,16346,990,0.0081224,14829.552541999874,0,0,1,1,1,1,0,1,0,1
gpt-4.1-mini,openai,0.975,coord_first,1,15645,402,16384,0.7,0.875,16347,1024,0.0081772,12706.79250000103,0,0,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.5,coord_first,5,8023,8024,16384,0.7,0.875,16420,1024,0.008206399999999999,16015.34191600149,0,0,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.975,reason_first,3,15645,402,16384,0.7,0.875,16348,1024,0.0081776,15937.771000000794,0,0,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.0,coord_first,4,0,16047,16384,0.8,1.0,16503,1024,0.0082396,12825.87945799969,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.975,reason_first,4,15645,402,16384,0.7,0.875,16348,1024,0.0081776,14144.742666998354,0,0,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.5,reason_first,3,8023,8024,16384,0.7,0.875,16420,1024,0.008206399999999999,16403.02254099879,0,0,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.98,reason_first,4,15726,321,16384,0.7,0.75,16346,1024,0.008176800000000001,14024.95216600073,0,1,1,1,1,1,0,1,0,1
gpt-4.1-mini,openai,0.0,reason_first,3,0,16047,16384,0.8,1.0,16503,1024,0.0082396,19240.384040997014,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.97,reason_first,4,15565,482,16384,0.8,0.875,16346,1024,0.008176800000000001,15636.350290998962,0,1,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.975,reason_first,5,15645,402,16384,0.7,0.75,16348,1024,0.0081776,23882.8762919984,1,0,1,1,1,1,1,0,0,1
gpt-4.1-mini,openai,0.5,coord_first,6,8023,8024,16384,0.7,0.875,16420,1024,0.008206399999999999,15060.618874998909,0,0,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.985,reason_first,5,15806,241,16384,0.4,0.5,16344,1024,0.008176,7677.50554200029,0,0,1,1,0,0,0,1,0,1
gpt-4.1-mini,openai,0.985,reason_first,6,15806,241,16384,0.3,0.375,16344,1024,0.008176,15788.83599999972,0,0,1,1,0,0,0,0,0,1
gpt-4.1-mini,openai,0.985,reason_first,7,15806,241,16384,0.1,0.125,16344,1024,0.008176,20091.57495800173,0,0,1,0,0,0,0,0,0,0
gpt-4.1-mini,openai,0.5,reason_first,4,8023,8024,16384,0.8,1.0,16420,1024,0.008206399999999999,21834.55833300104,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.975,reason_first,6,15645,402,16384,0.6,0.75,16348,1024,0.0081776,16024.560249999922,0,0,1,1,1,1,1,0,0,1
gpt-4.1-mini,openai,0.985,coord_first,3,15806,241,16384,0.2,0.125,16344,1024,0.008176,18206.726791999245,0,1,1,0,0,0,0,0,0,0
gpt-4.1-mini,openai,0.99,reason_first,1,15886,161,16384,0.3,0.25,16343,1024,0.0081756,17281.704959001218,0,1,1,0,0,0,0,1,0,0
gpt-4.1-mini,openai,0.0,coord_first,5,0,16047,16384,0.8,1.0,16503,1024,0.0082396,14891.891208000743,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,4,14442,1605,16384,0.8,1.0,16359,1024,0.008182,17836.201417001575,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.99,reason_first,2,15886,161,16384,0.4,0.375,16343,1024,0.0081756,13717.633874999592,0,1,1,0,0,0,0,1,0,1
gpt-4.1-mini,openai,0.98,reason_first,5,15726,321,16384,0.6,0.75,16346,1024,0.008176800000000001,14360.698958000285,0,0,1,1,1,1,0,1,0,1
gpt-4.1-mini,openai,0.97,reason_first,5,15565,482,16384,0.7,0.875,16346,1024,0.008176800000000001,11036.022208998475,0,0,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.98,coord_first,3,15726,321,16384,0.6,0.75,16346,1024,0.008176800000000001,17285.29520899974,0,0,1,1,1,1,0,1,0,1
gpt-4.1-mini,openai,0.9,reason_first,5,14442,1605,16384,0.7,0.875,16359,1024,0.008182,20276.009790999524,0,0,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.0,reason_first,4,0,16047,16384,0.8,1.0,16503,1024,0.0082396,14287.387750002381,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,6,14442,1605,16384,0.9,1.0,16359,1024,0.008182,25700.782874999277,0,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.98,coord_first,4,15726,321,16384,0.6,0.75,16346,951,0.008060000000000001,13561.31649999952,0,0,1,1,1,1,0,1,0,1
gpt-4.1-mini,openai,0.97,reason_first,6,15565,482,16384,0.8,0.875,16346,1024,0.008176800000000001,15820.08662500084,0,1,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.975,coord_first,2,15645,402,16384,0.8,0.875,16347,1024,0.0081772,14591.28575000068,1,0,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.9,coord_first,5,14442,1605,16384,0.8,1.0,16359,1024,0.008182,14641.490083002282,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.975,coord_first,3,15645,402,16384,0.6,0.75,16347,1024,0.0081772,17088.876040998002,0,0,1,1,1,1,1,0,0,1
gpt-4.1-mini,openai,0.985,reason_first,8,15806,241,16384,0.4,0.5,16344,1024,0.008176,17941.662790999544,0,0,1,1,0,0,0,1,0,1
gpt-4.1-mini,openai,0.0,coord_first,6,0,16047,16384,1.0,1.0,16503,1024,0.0082396,17122.047374999966,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.975,coord_first,4,15645,402,16384,0.7,0.875,16347,988,0.008119600000000001,14532.09812500063,0,0,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.985,reason_first,9,15806,241,16384,0.3,0.375,16344,1024,0.008176,34877.268459000334,0,0,1,1,0,0,0,1,0,0
gpt-4.1-mini,openai,0.97,reason_first,7,15565,482,16384,0.7,0.875,16346,1024,0.008176800000000001,15958.245958001498,0,0,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.99,reason_first,3,15886,161,16384,0.3,0.25,16343,1024,0.0081756,21084.941332999733,0,1,0,0,0,0,0,1,0,1
gpt-4.1-mini,openai,0.99,coord_first,5,15886,161,16384,0.3,0.25,16343,1024,0.0081756,13859.083999999712,0,1,1,0,0,0,0,1,0,0
gpt-4.1-mini,openai,0.9,coord_first,6,14442,1605,16384,0.8,1.0,16359,1024,0.008182,14822.736374997476,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.99,reason_first,4,15886,161,16384,0.3,0.25,16343,1024,0.0081756,19662.417875002575,0,1,1,0,0,0,0,0,0,1
gpt-4.1-mini,openai,0.9,coord_first,7,14442,1605,16384,0.8,1.0,16359,1024,0.008182,18220.84016699955,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.97,reason_first,8,15565,482,16384,0.7,0.875,16346,1024,0.008176800000000001,13911.956416999601,0,0,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.99,coord_first,6,15886,161,16384,0.3,0.25,16343,1024,0.0081756,16034.944916998938,0,1,1,0,0,0,0,0,0,1
gpt-4.1-mini,openai,0.975,coord_first,5,15645,402,16384,0.6,0.75,16347,1024,0.0081772,16754.084707998118,0,0,1,1,0,1,1,1,0,1
gpt-4.1-mini,openai,0.98,coord_first,5,15726,321,16384,0.5,0.625,16346,1024,0.008176800000000001,14676.608417001262,0,0,1,1,1,1,0,0,0,1
gpt-4.1-mini,openai,0.5,coord_first,7,8023,8024,16384,0.8,1.0,16420,1024,0.008206399999999999,14092.747375001636,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,5,0,16047,16384,1.0,1.0,16503,1024,0.0082396,13490.127708999353,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.98,coord_first,6,15726,321,16384,0.6,0.625,16346,1024,0.008176800000000001,13822.791500002495,0,1,1,1,1,1,0,0,0,1
gpt-4.1-mini,openai,0.985,coord_first,4,15806,241,16384,0.3,0.375,16344,1024,0.008176,14297.277249999752,0,0,1,0,0,0,0,1,0,1
gpt-4.1-mini,openai,0.5,reason_first,5,8023,8024,16384,0.8,1.0,16420,1024,0.008206399999999999,16425.828499999625,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.98,reason_first,6,15726,321,16384,0.5,0.625,16346,1024,0.008176800000000001,16551.338124998438,0,0,1,1,0,1,0,1,0,1
gpt-4.1-mini,openai,0.975,coord_first,6,15645,402,16384,0.7,0.875,16347,1024,0.0081772,29221.08975000083,0,0,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.975,reason_first,7,15645,402,16384,0.7,0.875,16348,1024,0.0081776,27916.977458000474,0,0,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.99,reason_first,5,15886,161,16384,0.3,0.25,16343,1024,0.0081756,15754.499541002588,0,1,0,0,0,0,0,1,0,1
gpt-4.1-mini,openai,0.98,coord_first,7,15726,321,16384,0.6,0.625,16346,1024,0.008176800000000001,13699.354042000778,0,1,1,1,1,1,0,0,0,1
gpt-4.1-mini,openai,0.9,reason_first,7,14442,1605,16384,0.8,1.0,16359,1024,0.008182,20118.809749998036,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.99,reason_first,6,15886,161,16384,0.5,0.5,16343,1024,0.0081756,20219.426374998875,0,1,1,1,0,0,0,1,0,1
gpt-4.1-mini,openai,0.975,reason_first,8,15645,402,16384,0.6,0.75,16348,1024,0.0081776,14351.103291999607,0,0,1,1,1,1,1,0,0,1
gpt-4.1-mini,openai,0.99,reason_first,7,15886,161,16384,0.3,0.25,16343,1024,0.0081756,17943.078667001828,0,1,0,0,0,0,0,1,0,1
gpt-4.1-mini,openai,0.975,coord_first,7,15645,402,16384,0.7,0.875,16347,1024,0.0081772,18025.818625003012,0,0,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.97,coord_first,6,15565,482,16384,0.7,0.875,16345,1024,0.0081764,15665.578500000265,0,0,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.99,coord_first,7,15886,161,16384,0.4,0.375,16343,1009,0.0081516,14346.694291998574,0,1,1,0,0,0,0,1,0,1
gpt-4.1-mini,openai,0.98,reason_first,7,15726,321,16384,0.6,0.75,16346,1024,0.008176800000000001,12987.422709000384,0,0,1,1,1,1,0,1,0,1
gpt-4.1-mini,openai,0.99,reason_first,8,15886,161,16384,0.3,0.25,16343,1024,0.0081756,14951.733583002351,0,1,0,0,0,0,0,1,0,1
gpt-4.1-mini,openai,0.985,coord_first,5,15806,241,16384,0.3,0.25,16344,1024,0.008176,16271.777542002383,0,1,1,0,0,0,0,0,0,1
gpt-4.1-mini,openai,0.985,coord_first,6,15806,241,16384,0.3,0.25,16344,971,0.008091200000000002,11254.351958003099,0,1,1,0,0,0,0,0,0,1
gpt-4.1-mini,openai,0.0,reason_first,6,0,16047,16384,0.8,1.0,16503,959,0.0081356,25597.192582998105,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,6,8023,8024,16384,0.8,1.0,16420,1024,0.008206399999999999,17850.41516599813,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.98,reason_first,8,15726,321,16384,0.6,0.75,16346,1024,0.008176800000000001,52248.561000000336,0,0,1,1,1,1,0,1,0,1
gpt-4.1-mini,openai,0.97,reason_first,9,15565,482,16384,0.7,0.875,16346,1024,0.008176800000000001,22382.630916999915,0,0,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.98,reason_first,9,15726,321,16384,0.6,0.75,16346,1024,0.008176800000000001,40088.12662499986,0,0,1,1,1,1,0,1,0,1
gpt-4.1-mini,openai,0.975,reason_first,9,15645,402,16384,0.7,0.875,16348,1024,0.0081776,12528.042333000485,0,0,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.0,reason_first,7,0,16047,16384,0.8,1.0,16503,1024,0.0082396,17060.304125003313,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.97,coord_first,7,15565,482,16384,0.7,0.875,16345,1024,0.0081764,14677.804666000156,0,0,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.5,coord_first,8,8023,8024,16384,0.8,1.0,16420,1024,0.008206399999999999,22396.94737500031,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,7,8023,8024,16384,0.9,1.0,16420,1024,0.008206399999999999,19367.722667000635,0,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,8,14442,1605,16384,0.9,1.0,16359,1024,0.008182,6166.904917001375,0,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.985,coord_first,7,15806,241,16384,0.6,0.75,16344,1024,0.008176,12719.116084001143,0,0,1,1,0,1,1,1,0,1
gpt-4.1-mini,openai,0.985,coord_first,8,15806,241,16384,0.2,0.25,16344,1024,0.008176,12698.475999997754,0,0,1,0,0,0,0,1,0,0
gpt-4.1-mini,openai,0.0,coord_first,7,0,16047,16384,0.8,1.0,16503,1024,0.0082396,8924.001709001459,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,8,0,16047,16384,0.8,1.0,16503,1024,0.0082396,7235.1430829985475,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.99,coord_first,8,15886,161,16384,0.3,0.25,16343,956,0.0080668,17759.40645800074,0,1,1,0,0,0,0,0,0,1
gpt-4.1-mini,openai,0.5,reason_first,8,8023,8024,16384,0.7,0.875,16420,1024,0.008206399999999999,20707.92666700072,0,0,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.98,coord_first,8,15726,321,16384,0.6,0.75,16346,1024,0.008176800000000001,16211.01125000132,0,0,1,1,1,1,0,1,0,1
gpt-4.1-mini,openai,0.97,coord_first,8,15565,482,16384,0.8,0.875,16345,1024,0.0081764,18073.34958299907,0,1,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.5,reason_first,9,8023,8024,16384,0.8,1.0,16420,1024,0.008206399999999999,11276.579082998069,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,9,8023,8024,16384,0.8,1.0,16420,1024,0.008206399999999999,15782.087874998979,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.99,reason_first,9,15886,161,16384,0.6,0.625,16343,985,0.008113200000000001,11398.698791999777,0,1,0,0,0,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,8,14442,1605,16384,0.8,1.0,16359,1024,0.008182,30380.32608299909,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,9,14442,1605,16384,0.8,1.0,16359,1024,0.008182,16930.3971249974,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.985,coord_first,9,15806,241,16384,0.5,0.5,16344,1024,0.008176,13768.499958001485,0,1,1,1,0,0,0,1,0,1
gpt-4.1-mini,openai,0.97,coord_first,9,15565,482,16384,0.8,0.875,16345,1024,0.0081764,12896.157667000807,0,1,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.975,coord_first,8,15645,402,16384,0.7,0.875,16347,1024,0.0081772,19542.789999999513,0,0,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.0,coord_first,8,0,16047,16384,0.8,1.0,16503,1024,0.0082396,11852.871332997893,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.975,coord_first,9,15645,402,16384,0.7,0.875,16347,954,0.008065200000000002,14036.831041998084,0,0,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.0,coord_first,9,0,16047,16384,0.8,1.0,16503,1024,0.0082396,12000.899042002857,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.98,coord_first,9,15726,321,16384,0.6,0.75,16346,1024,0.008176800000000001,14932.042625001486,0,0,1,1,1,1,0,1,0,1
gpt-4.1-mini,openai,0.0,reason_first,9,0,16047,16384,0.8,1.0,16503,1024,0.0082396,13472.070542000438,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,9,14442,1605,16384,0.8,1.0,16359,1024,0.008182,12590.828000000329,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.99,coord_first,9,15886,161,16384,0.5,0.5,16343,864,0.0079196,11899.565708001319,0,1,1,0,0,0,1,0,1,1
