model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,cost_usd,elapsed_ms,sum_correct,above_count,below_count,equal_count,above_indices,equal_indices,mean_correct,max_above_correct,below_has_zero,no_negatives
gpt-4.1-mini,openai,0.75,coord_first,0,2712,904,4096,1.0,1.0,4075,679,0.0027164,18823.779708000075,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,3,2712,904,4096,1.0,1.0,4075,858,0.0030028000000000003,11598.004958999809,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,1,3254,362,4096,1.0,1.0,4090,797,0.0029111999999999996,9234.184000000823,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,4,2712,904,4096,1.0,1.0,4075,677,0.0027132,9906.654541002354,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,1,2712,904,4096,0.9,0.9,4075,683,0.0027228,10009.312833994045,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.5,reason_first,4,1808,1808,4096,1.0,1.0,4048,865,0.0030031999999999997,12983.24870900251,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,5,2712,904,4096,1.0,1.0,4075,702,0.0027532,23734.566416002053,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,6,2712,904,4096,1.0,1.0,4075,935,0.003126,10542.311375000281,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,2,3254,362,4096,1.0,1.0,4090,781,0.0028856000000000003,13317.12195900036,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,2,1808,1808,4096,0.9,0.9,4047,646,0.0026524000000000005,10348.146457996336,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.75,coord_first,2,2712,904,4096,0.9,0.9,4075,676,0.0027116,12923.983500004397,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.75,coord_first,3,2712,904,4096,1.0,1.0,4075,794,0.0029004,10951.788166006736,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,1,0,3616,4096,1.0,1.0,3999,749,0.002798,13098.005749998265,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,2,0,3616,4096,1.0,1.0,3999,995,0.0031916,13181.467374997737,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,5,1808,1808,4096,1.0,1.0,4048,784,0.0028736000000000005,12330.090999996173,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,3,0,3616,4096,1.0,1.0,3999,792,0.0028668,12556.850499997381,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,7,2712,904,4096,1.0,1.0,4075,685,0.002726,12218.159208998259,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,6,1808,1808,4096,1.0,1.0,4048,697,0.0027344,8543.826125001942,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,8,2712,904,4096,1.0,1.0,4075,672,0.0027051999999999996,16110.205208002299,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,0,3254,362,4096,1.0,1.0,4090,717,0.0027832,37600.624416001665,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,3,904,2712,4096,1.0,1.0,4026,720,0.0027624,10988.818584002729,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,3,1808,1808,4096,1.0,1.0,4047,853,0.0029836000000000003,9565.62254200253,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,2,0,3616,4096,1.0,1.0,3999,800,0.0028796000000000004,14452.69924999593,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,3,904,2712,4096,0.9,0.9,4026,665,0.0026744,8337.171625003975,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.9,reason_first,3,3254,362,4096,1.0,1.0,4090,687,0.0027351999999999997,9828.35941700614,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,4,904,2712,4096,1.0,1.0,4026,950,0.0031304,13413.852582998516,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,5,904,2712,4096,1.0,1.0,4026,698,0.0027272,9454.874333001499,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,4,904,2712,4096,1.0,1.0,4026,766,0.002836,11416.847291999147,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,5,904,2712,4096,1.0,1.0,4026,855,0.0029784,9580.019416003779,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,4,3254,362,4096,1.0,1.0,4090,704,0.0027624,8960.632250003982,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,3,0,3616,4096,1.0,1.0,3999,898,0.0030364000000000007,11742.977415997302,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,4,0,3616,4096,1.0,1.0,3999,801,0.0028812000000000004,11258.89399999869,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,7,1808,1808,4096,1.0,1.0,4048,715,0.0027632,10334.168875000614,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,9,2712,904,4096,1.0,1.0,4075,694,0.0027404,14037.003249999543,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,8,1808,1808,4096,1.0,1.0,4048,699,0.0027376,10299.433708001743,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,5,3254,362,4096,1.0,1.0,4090,691,0.0027416000000000003,9758.224875004089,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,1,3254,362,4096,1.0,1.0,4090,677,0.0027191999999999997,10404.22516700346,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,6,904,2712,4096,1.0,1.0,4026,762,0.0028296000000000003,9271.990082997945,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,6,3254,362,4096,0.9,0.9,4090,846,0.0029896000000000002,10191.316582997388,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.75,coord_first,4,2712,904,4096,1.0,1.0,4075,749,0.0028284,8270.947208999132,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,7,904,2712,4096,1.0,1.0,4026,711,0.002748,10572.234999999637,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,5,0,3616,4096,1.0,1.0,3999,800,0.0028796000000000004,22824.17912499659,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,7,3254,362,4096,1.0,1.0,4090,692,0.0027432,11132.063417004247,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,8,904,2712,4096,0.9,0.9,4026,665,0.0026744,8578.370457995334,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.25,reason_first,6,904,2712,4096,1.0,1.0,4026,685,0.0027064000000000003,18952.967165998416,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,5,2712,904,4096,1.0,1.0,4075,756,0.0028396000000000003,15618.209875006869,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,10,2712,904,4096,1.0,1.0,4075,850,0.00299,11228.586416000326,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,2,3254,362,4096,1.0,1.0,4090,790,0.0029,12446.740166997188,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,6,0,3616,4096,1.0,1.0,3999,754,0.002806,12927.597207999497,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,9,1808,1808,4096,1.0,1.0,4048,683,0.002712,9103.042832997744,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,6,2712,904,4096,1.0,1.0,4075,729,0.0027964,10634.528291993774,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,10,1808,1808,4096,1.0,1.0,4048,677,0.0027024,10805.08195800212,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,4,1808,1808,4096,1.0,1.0,4047,795,0.0028908000000000002,17326.463416997285,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,8,3254,362,4096,1.0,1.0,4090,782,0.0028872,12661.009249997733,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,5,1808,1808,4096,1.0,1.0,4047,726,0.0027804000000000006,7778.8065830027335,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,7,904,2712,4096,1.0,1.0,4026,709,0.0027448000000000004,12592.326250000042,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,4,0,3616,4096,1.0,1.0,3999,746,0.0027932000000000005,11274.857457996404,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,7,2712,904,4096,0.9,0.9,4075,840,0.002974,15973.042625002563,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.9,reason_first,9,3254,362,4096,1.0,1.0,4090,803,0.0029208000000000003,12048.218249998172,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,3,3254,362,4096,1.0,1.0,4090,729,0.0028024,11121.44774999615,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,9,904,2712,4096,1.0,1.0,4026,669,0.0026808,11141.052999999374,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,6,1808,1808,4096,1.0,1.0,4047,680,0.0027068,13184.01466600335,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,10,3254,362,4096,1.0,1.0,4090,872,0.0030312,17094.67399999994,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,8,2712,904,4096,1.0,1.0,4075,676,0.0027116,11164.202457999636,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,7,1808,1808,4096,1.0,1.0,4047,695,0.0027308000000000002,10241.642875000252,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,11,1808,1808,4096,1.0,1.0,4048,741,0.0028048,11571.310583000013,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,11,3254,362,4096,1.0,1.0,4090,761,0.0028536000000000004,15552.339541995025,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,8,1808,1808,4096,1.0,1.0,4047,790,0.0028828,11399.973457999295,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,5,0,3616,4096,1.0,1.0,3999,1024,0.003238,17866.51283300307,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,11,2712,904,4096,1.0,1.0,4075,671,0.0027036000000000004,12256.727250001859,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,10,904,2712,4096,1.0,1.0,4026,704,0.0027368,10225.203709000198,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,7,0,3616,4096,1.0,1.0,3999,806,0.0028892,10255.375375003496,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,11,904,2712,4096,1.0,1.0,4026,661,0.002668,11008.481208002195,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,12,904,2712,4096,1.0,1.0,4026,759,0.0028248,10684.677875004127,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,12,2712,904,4096,1.0,1.0,4075,698,0.0027468,8733.360417005315,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,9,2712,904,4096,1.0,1.0,4075,925,0.00311,15824.501834002149,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,13,2712,904,4096,1.0,1.0,4075,668,0.0026988000000000003,9536.646666994784,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,8,0,3616,4096,1.0,1.0,3999,1024,0.003238,12398.7229580016,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,8,904,2712,4096,1.0,1.0,4026,808,0.0029032000000000003,10103.000540999346,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,12,3254,362,4096,1.0,1.0,4090,848,0.0029928000000000003,14113.938208000036,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,10,2712,904,4096,1.0,1.0,4075,671,0.0027036000000000004,9416.465833004622,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,9,0,3616,4096,1.0,1.0,3999,981,0.0031692000000000005,14488.20104200422,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,13,3254,362,4096,1.0,1.0,4090,755,0.002844,13181.489624999813,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,11,2712,904,4096,1.0,1.0,4075,964,0.0031724,16809.40095800179,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,12,2712,904,4096,1.0,1.0,4075,659,0.0026844,9092.28508399974,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,14,3254,362,4096,1.0,1.0,4090,858,0.0030088000000000003,12980.362791000516,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,6,0,3616,4096,1.0,1.0,3999,993,0.0031884000000000005,13177.979416002927,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,15,3254,362,4096,1.0,1.0,4090,860,0.003012,10758.487332997902,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,9,1808,1808,4096,1.0,1.0,4047,672,0.002694,11977.459792004083,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,4,3254,362,4096,1.0,1.0,4090,689,0.0027384,7862.634499993874,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,5,3254,362,4096,1.0,1.0,4090,731,0.0028056000000000005,9962.666542000079,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,9,904,2712,4096,1.0,1.0,4026,661,0.002668,9859.073209001508,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,10,0,3616,4096,1.0,1.0,3999,772,0.0028348,15535.02437499992,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,14,2712,904,4096,1.0,1.0,4075,722,0.0027852,10430.139417003375,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,7,0,3616,4096,1.0,1.0,3999,798,0.0028764000000000007,12699.7064160023,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,11,0,3616,4096,1.0,1.0,3999,1024,0.003238,16234.547166000993,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,10,904,2712,4096,1.0,1.0,4026,733,0.0027832,9935.117749999336,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,11,904,2712,4096,1.0,1.0,4026,984,0.0031848000000000002,15076.068624999607,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,12,904,2712,4096,0.9,0.9,4026,868,0.0029992000000000005,14560.412915998313,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.25,coord_first,13,904,2712,4096,0.9,0.9,4026,669,0.0026808,11874.215875002847,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.5,coord_first,10,1808,1808,4096,1.0,1.0,4047,763,0.0028396000000000003,9707.419915997889,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,16,3254,362,4096,1.0,1.0,4090,680,0.002724,9741.627417002746,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,6,3254,362,4096,1.0,1.0,4090,848,0.0029928000000000003,14080.72466700105,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,8,0,3616,4096,1.0,1.0,3999,823,0.0029164000000000004,12526.098333000846,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,11,1808,1808,4096,1.0,1.0,4047,698,0.0027356000000000004,14353.430292001576,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,12,1808,1808,4096,1.0,1.0,4047,748,0.0028156000000000006,9722.229041995888,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,13,1808,1808,4096,1.0,1.0,4047,718,0.0027676000000000003,10540.929957998742,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,15,2712,904,4096,1.0,1.0,4075,793,0.0028988,10361.170457996195,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,9,0,3616,4096,1.0,1.0,3999,942,0.0031068000000000003,15488.241333005135,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,12,0,3616,4096,1.0,1.0,3999,771,0.0028332,13764.966749993619,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,13,904,2712,4096,1.0,1.0,4026,718,0.0027592,15282.555917001446,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,13,2712,904,4096,1.0,1.0,4075,739,0.0028124,13504.114583003684,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,7,3254,362,4096,0.9,0.9,4090,687,0.0027351999999999997,14972.130375004781,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.0,reason_first,13,0,3616,4096,1.0,1.0,3999,887,0.0030188000000000003,12769.751332998567,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,8,3254,362,4096,1.0,1.0,4090,905,0.003084,14133.43404099578,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,10,0,3616,4096,1.0,1.0,3999,775,0.0028396000000000003,15580.25991699833,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,9,3254,362,4096,1.0,1.0,4090,731,0.0028056000000000005,10964.667084001121,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,10,3254,362,4096,1.0,1.0,4090,685,0.002732,8487.588832998881,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,16,2712,904,4096,1.0,1.0,4075,669,0.0027004,8701.882207999006,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,14,904,2712,4096,0.9,0.9,4026,686,0.002708,11438.683791995572,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.9,coord_first,11,3254,362,4096,1.0,1.0,4090,662,0.0026952,8104.213624996191,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,14,904,2712,4096,1.0,1.0,4026,765,0.0028344,10023.077458004991,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,14,2712,904,4096,1.0,1.0,4075,900,0.00307,10481.54104200512,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,17,3254,362,4096,1.0,1.0,4090,797,0.0029111999999999996,9282.43737500452,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,11,0,3616,4096,1.0,1.0,3999,1024,0.003238,17385.82587500423,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,18,3254,362,4096,1.0,1.0,4090,784,0.0028904,18181.600374999107,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,12,0,3616,4096,1.0,1.0,3999,986,0.0031772000000000002,16211.85804099514,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,12,3254,362,4096,1.0,1.0,4090,798,0.0029128,10485.106874999474,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,15,904,2712,4096,1.0,1.0,4026,681,0.0027,13412.43316699547,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,15,2712,904,4096,1.0,1.0,4075,704,0.0027564,15051.687291001144,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,17,2712,904,4096,1.0,1.0,4075,973,0.0031868,17842.521667000256,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,14,0,3616,4096,1.0,1.0,3999,934,0.003094,12146.197500005655,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,15,904,2712,4096,1.0,1.0,4026,698,0.0027272,11362.844791998214,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,13,0,3616,4096,1.0,1.0,3999,689,0.002702,8740.687540994259,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,12,1808,1808,4096,1.0,1.0,4048,874,0.0030176000000000005,13952.302875004534,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,13,1808,1808,4096,1.0,1.0,4048,861,0.0029968,12719.441084002028,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,13,3254,362,4096,1.0,1.0,4090,874,0.0030344,13114.255832995696,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,14,0,3616,4096,1.0,1.0,3999,1000,0.0031996000000000004,19768.900791001215,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,15,0,3616,4096,1.0,1.0,3999,820,0.0029116000000000003,10485.803458999726,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,14,1808,1808,4096,1.0,1.0,4047,689,0.0027212000000000004,8708.594832998642,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,16,904,2712,4096,1.0,1.0,4026,669,0.0026808,13350.994041997183,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,14,3254,362,4096,1.0,1.0,4090,668,0.0027048000000000003,10987.165874998027,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,15,1808,1808,4096,1.0,1.0,4047,836,0.0029564000000000005,18754.017332998046,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,15,3254,362,4096,1.0,1.0,4090,772,0.0028712,11533.409792005841,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,18,2712,904,4096,1.0,1.0,4075,657,0.0026812,11443.760208996537,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,14,1808,1808,4096,1.0,1.0,4048,770,0.0028512,15857.6960000064,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,16,3254,362,4096,1.0,1.0,4090,820,0.002948,10474.966375004442,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,16,2712,904,4096,1.0,1.0,4075,731,0.0027996,10715.80662499764,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,19,2712,904,4096,1.0,1.0,4075,671,0.0027036000000000004,8874.370042001829,1,1,1,1,1,1,1,1,1,1
